Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature,Days of accumulation of maximum temperature,Quality
IDCJAC0010,070351,2014,06,18,12.9,1,Y
IDCJAC0010,070351,2014,06,19,13.5,1,Y
IDCJAC0010,070351,2014,06,20,16.7,1,Y
IDCJAC0010,070351,2014,06,21,14.4,1,Y
IDCJAC0010,070351,2014,06,22,15.5,1,Y
IDCJAC0010,070351,2014,06,23,10.0,1,Y
IDCJAC0010,070351,2014,06,24,8.5,1,Y
IDCJAC0010,070351,2014,06,25,11.1,1,Y
IDCJAC0010,070351,2014,06,26,12.9,1,Y
IDCJAC0010,070351,2014,06,27,12.2,1,Y
IDCJAC0010,070351,2014,06,28,11.9,1,Y
IDCJAC0010,070351,2014,06,29,8.8,1,Y
IDCJAC0010,070351,2014,06,30,10.1,1,Y
IDCJAC0010,070351,2014,07,01,11.2,1,Y
IDCJAC0010,070351,2014,07,02,7.3,1,Y
IDCJAC0010,070351,2014,07,03,10.0,1,Y
IDCJAC0010,070351,2014,07,04,12.9,1,Y
IDCJAC0010,070351,2014,07,05,11.5,1,Y
IDCJAC0010,070351,2014,07,06,11.8,1,Y
IDCJAC0010,070351,2014,07,07,13.1,1,Y
IDCJAC0010,070351,2014,07,08,11.2,1,Y
IDCJAC0010,070351,2014,07,09,7.0,1,Y
IDCJAC0010,070351,2014,07,10,10.0,1,Y
IDCJAC0010,070351,2014,07,11,11.0,1,Y
IDCJAC0010,070351,2014,07,12,10.4,1,Y
IDCJAC0010,070351,2014,07,13,11.5,1,Y
IDCJAC0010,070351,2014,07,14,14.2,1,Y
IDCJAC0010,070351,2014,07,15,9.2,1,Y
IDCJAC0010,070351,2014,07,16,12.9,1,Y
IDCJAC0010,070351,2014,07,17,10.9,1,Y
IDCJAC0010,070351,2014,07,18,13.5,1,Y
IDCJAC0010,070351,2014,07,19,12.1,1,Y
IDCJAC0010,070351,2014,07,20,12.5,1,Y
IDCJAC0010,070351,2014,07,21,13.1,1,Y
IDCJAC0010,070351,2014,07,22,13.5,1,Y
IDCJAC0010,070351,2014,07,23,13.3,1,Y
IDCJAC0010,070351,2014,07,24,11.1,1,Y
IDCJAC0010,070351,2014,07,25,15.7,1,Y
IDCJAC0010,070351,2014,07,26,13.1,1,Y
IDCJAC0010,070351,2014,07,27,14.2,1,Y
IDCJAC0010,070351,2014,07,28,13.1,1,Y
IDCJAC0010,070351,2014,07,29,16.6,1,Y
IDCJAC0010,070351,2014,07,30,14.9,1,Y
IDCJAC0010,070351,2014,07,31,16.9,1,Y
IDCJAC0010,070351,2014,08,01,8.4,1,Y
IDCJAC0010,070351,2014,08,02,10.6,1,Y
IDCJAC0010,070351,2014,08,03,11.2,1,Y
IDCJAC0010,070351,2014,08,04,13.4,1,Y
IDCJAC0010,070351,2014,08,05,13.8,1,Y
IDCJAC0010,070351,2014,08,06,13.8,1,Y
IDCJAC0010,070351,2014,08,07,14.7,1,Y
IDCJAC0010,070351,2014,08,08,13.8,1,Y
IDCJAC0010,070351,2014,08,09,13.3,1,Y
IDCJAC0010,070351,2014,08,10,15.5,1,Y
IDCJAC0010,070351,2014,08,11,10.0,1,Y
IDCJAC0010,070351,2014,08,12,13.6,1,Y
IDCJAC0010,070351,2014,08,13,13.0,1,Y
IDCJAC0010,070351,2014,08,14,14.8,1,Y
IDCJAC0010,070351,2014,08,15,15.8,1,Y
IDCJAC0010,070351,2014,08,16,14.2,1,Y
IDCJAC0010,070351,2014,08,17,10.8,1,Y
IDCJAC0010,070351,2014,08,18,14.3,1,Y
IDCJAC0010,070351,2014,08,19,15.1,1,Y
IDCJAC0010,070351,2014,08,20,15.2,1,Y
IDCJAC0010,070351,2014,08,21,14.9,1,Y
IDCJAC0010,070351,2014,08,22,15.8,1,Y
IDCJAC0010,070351,2014,08,23,16.2,1,Y
IDCJAC0010,070351,2014,08,24,17.7,1,Y
IDCJAC0010,070351,2014,08,25,16.4,1,Y
IDCJAC0010,070351,2014,08,26,13.7,1,Y
IDCJAC0010,070351,2014,08,27,15.1,1,Y
IDCJAC0010,070351,2014,08,28,15.8,1,Y
IDCJAC0010,070351,2014,08,29,17.5,1,Y
IDCJAC0010,070351,2014,08,30,17.6,1,Y
IDCJAC0010,070351,2014,08,31,17.4,1,Y
IDCJAC0010,070351,2014,09,01,18.9,1,Y
IDCJAC0010,070351,2014,09,02,11.9,1,Y
IDCJAC0010,070351,2014,09,03,13.6,1,Y
IDCJAC0010,070351,2014,09,04,14.2,1,Y
IDCJAC0010,070351,2014,09,05,15.1,1,Y
IDCJAC0010,070351,2014,09,06,14.6,1,Y
IDCJAC0010,070351,2014,09,07,17.7,1,Y
IDCJAC0010,070351,2014,09,08,19.0,1,Y
IDCJAC0010,070351,2014,09,09,18.3,1,Y
IDCJAC0010,070351,2014,09,10,17.7,1,Y
IDCJAC0010,070351,2014,09,11,17.4,1,Y
IDCJAC0010,070351,2014,09,12,15.4,1,Y
IDCJAC0010,070351,2014,09,13,17.0,1,Y
IDCJAC0010,070351,2014,09,14,18.7,1,Y
IDCJAC0010,070351,2014,09,15,19.2,1,Y
IDCJAC0010,070351,2014,09,16,18.0,1,Y
IDCJAC0010,070351,2014,09,17,15.2,1,Y
IDCJAC0010,070351,2014,09,18,13.9,1,Y
IDCJAC0010,070351,2014,09,19,16.1,1,Y
IDCJAC0010,070351,2014,09,20,18.3,1,Y
IDCJAC0010,070351,2014,09,21,17.9,1,Y
IDCJAC0010,070351,2014,09,22,20.1,1,Y
IDCJAC0010,070351,2014,09,23,22.2,1,Y
IDCJAC0010,070351,2014,09,24,19.9,1,Y
IDCJAC0010,070351,2014,09,25,19.2,1,Y
IDCJAC0010,070351,2014,09,26,18.2,1,Y
IDCJAC0010,070351,2014,09,27,18.2,1,Y
IDCJAC0010,070351,2014,09,28,22.2,1,Y
IDCJAC0010,070351,2014,09,29,24.1,1,Y
IDCJAC0010,070351,2014,09,30,24.0,1,Y
IDCJAC0010,070351,2014,10,01,16.9,1,Y
IDCJAC0010,070351,2014,10,02,20.0,1,Y
IDCJAC0010,070351,2014,10,03,20.9,1,Y
IDCJAC0010,070351,2014,10,04,22.5,1,Y
IDCJAC0010,070351,2014,10,05,27.5,1,Y
IDCJAC0010,070351,2014,10,06,28.1,1,Y
IDCJAC0010,070351,2014,10,07,19.8,1,Y
IDCJAC0010,070351,2014,10,08,19.8,1,Y
IDCJAC0010,070351,2014,10,09,20.2,1,Y
IDCJAC0010,070351,2014,10,10,22.1,1,Y
IDCJAC0010,070351,2014,10,11,26.6,1,Y
IDCJAC0010,070351,2014,10,12,27.6,1,Y
IDCJAC0010,070351,2014,10,13,21.1,1,Y
IDCJAC0010,070351,2014,10,14,8.7,1,Y
IDCJAC0010,070351,2014,10,15,15.9,1,Y
IDCJAC0010,070351,2014,10,16,17.1,1,Y
IDCJAC0010,070351,2014,10,17,17.1,1,Y
IDCJAC0010,070351,2014,10,18,20.4,1,Y
IDCJAC0010,070351,2014,10,19,25.1,1,Y
IDCJAC0010,070351,2014,10,20,17.1,1,Y
IDCJAC0010,070351,2014,10,21,17.6,1,Y
IDCJAC0010,070351,2014,10,22,24.9,1,Y
IDCJAC0010,070351,2014,10,23,27.2,1,Y
IDCJAC0010,070351,2014,10,24,28.4,1,Y
IDCJAC0010,070351,2014,10,25,30.0,1,Y
IDCJAC0010,070351,2014,10,26,29.2,1,Y
IDCJAC0010,070351,2014,10,27,24.6,1,Y
IDCJAC0010,070351,2014,10,28,19.8,1,Y
IDCJAC0010,070351,2014,10,29,23.9,1,Y
IDCJAC0010,070351,2014,10,30,26.5,1,Y
IDCJAC0010,070351,2014,10,31,32.0,1,Y
IDCJAC0010,070351,2014,11,01,26.5,1,Y
IDCJAC0010,070351,2014,11,02,20.0,1,Y
IDCJAC0010,070351,2014,11,03,22.6,1,Y
IDCJAC0010,070351,2014,11,04,25.2,1,Y
IDCJAC0010,070351,2014,11,05,27.2,1,Y
IDCJAC0010,070351,2014,11,06,24.4,1,Y
IDCJAC0010,070351,2014,11,07,27.4,1,Y
IDCJAC0010,070351,2014,11,08,30.0,1,Y
IDCJAC0010,070351,2014,11,09,33.3,1,Y
IDCJAC0010,070351,2014,11,10,29.3,1,Y
IDCJAC0010,070351,2014,11,11,26.9,1,Y
IDCJAC0010,070351,2014,11,12,27.9,1,Y
IDCJAC0010,070351,2014,11,13,31.2,1,Y
IDCJAC0010,070351,2014,11,14,37.2,1,Y
IDCJAC0010,070351,2014,11,15,29.4,1,Y
IDCJAC0010,070351,2014,11,16,18.0,1,Y
IDCJAC0010,070351,2014,11,17,23.6,1,Y
IDCJAC0010,070351,2014,11,18,25.7,1,Y
IDCJAC0010,070351,2014,11,19,27.8,1,Y
IDCJAC0010,070351,2014,11,20,31.4,1,Y
IDCJAC0010,070351,2014,11,21,30.2,1,Y
IDCJAC0010,070351,2014,11,22,31.8,1,Y
IDCJAC0010,070351,2014,11,23,39.0,1,Y
IDCJAC0010,070351,2014,11,24,26.4,1,Y
IDCJAC0010,070351,2014,11,25,25.4,1,Y
IDCJAC0010,070351,2014,11,26,26.7,1,Y
IDCJAC0010,070351,2014,11,27,25.9,1,Y
IDCJAC0010,070351,2014,11,28,27.5,1,Y
IDCJAC0010,070351,2014,11,29,29.7,1,Y
IDCJAC0010,070351,2014,11,30,27.9,1,Y
IDCJAC0010,070351,2014,12,01,32.7,1,N
